city,country,x3 (McMeal),x9 (milk),x10 (bread),x11 (rice),x12 (eggs),x13 (cheese local),x14 (chicken fillets),x15 (beef round),x16 (apples),x17 (bananas),x18 (oranges),x19 (tomatoes),x20 (potatoes),x21 (onions),x22 (lettuce),x23 (water 1.5L),x28 (One-Way ticket transit),x29 (monthly pass transit),x30 (taxi start),x31 (taxi 1km),x32 (Taxi 1hr wait),x33 (Gas 1L),x34 (Volkswagen Golf),x35 (Toyota Corolla Sedan),x36 (basic utilities),x48 (apartment 1BR city center),x49 (apartment 1BR outside center),x50 (apartment 3BR city center),x51 (apartment 3BR outside center),x52 (price per sqm city center),x53 (price per sqm outside center),x54 (average monthly net salary),data_quality,NaN_tot,food_index,housing_index,transport_index,avg_transit_cost,x31b (taxi 8km),avg_taxi_cost,avg_personal_cost
Tauranga,New Zealand,7.7,1.87,2.08,2.26,4.0,7.16,8.46,11.55,2.56,2.11,2.89,2.21,2.24,1.71,2.46,1.51,1.74,57.73,1.92,1.44,,1.81,29180.48,,127.86,1049.76,692.71,1543.64,1461.32,4169.1,2993.2,2597.67,1,2,86.60320088300223,90.65959018782493,72.14465480484637,29.735,11.52,6.72,14591.145
Rehovot,Israel,13.21,1.75,1.7,2.74,3.73,17.73,11.08,22.95,3.48,2.82,2.31,2.26,1.52,1.34,1.83,1.06,1.73,67.53,8.22,0.88,,2.02,41103.33,44039.28,256.25,998.22,844.09,1513.65,1333.76,6165.5,6165.5,2422.16,1,1,126.25551876379693,130.11931955543807,210.23621017752276,34.63,7.04,7.630000000000001,28381.543333333335
Innsbruck,Austria,9.48,1.36,1.78,2.17,2.92,11.84,10.75,16.33,2.62,2.1,2.34,2.85,1.82,1.66,1.25,0.54,2.85,52.69,6.74,2.0,31.61,1.86,24720.86,20856.25,257.48,862.75,778.6,1527.93,1277.67,8354.69,6221.49,1965.3,1,0,99.07560706401767,145.20948139713008,112.67510640953722,27.77,16.0,18.116666666666667,15192.99
Gyor,Hungary,5.14,0.62,0.64,1.0,1.74,5.57,4.01,7.53,1.13,1.12,1.35,2.56,0.79,0.81,1.07,0.3,0.64,21.21,2.06,0.91,12.86,1.23,18640.41,18820.38,101.15,325.67,248.54,497.08,377.09,2571.09,1671.21,800.71,1,0,48.81346578366447,43.62043683474434,92.5078410273337,10.925,7.28,7.3999999999999995,12487.340000000002
Stavanger,Norway,14.39,2.06,2.91,2.69,3.61,11.39,13.54,29.5,3.29,2.28,3.48,3.54,2.18,3.01,2.26,2.53,4.16,61.65,14.9,1.7,49.01,2.18,36075.78,33527.57,219.5,1053.2,802.74,2089.27,1325.48,5908.17,4366.91,3336.77,1,0,141.63907284768214,118.73414175099923,172.03376785230603,32.905,13.6,25.836666666666662,23201.843333333334
Guelph,Canada,7.41,1.62,2.53,3.36,3.6,20.38,10.19,15.13,2.98,1.19,3.89,2.97,1.94,3.06,2.62,2.03,2.22,59.29,2.22,1.78,23.72,1.39,17046.44,17118.71,127.46,1262.43,1181.72,2000.28,1900.64,4516.94,3416.95,3384.58,1,0,117.135761589404,108.50013443502269,84.50540472134195,30.755,14.24,13.393333333333333,11388.846666666665
Rijeka,Croatia,6.28,0.95,1.05,1.72,2.44,9.57,8.77,10.38,1.38,1.4,1.54,1.97,1.0,0.82,1.05,0.95,1.68,41.88,3.49,0.7,6.98,1.56,23731.75,21833.21,157.64,404.84,360.18,763.66,608.82,2396.51,1851.29,888.39,1,0,70.73675496688742,49.27732702505463,112.5428561420024,21.78,5.6,5.3566666666666665,15188.840000000002
Kayseri,Turkey,3.35,0.75,0.35,1.66,1.21,5.15,3.81,8.87,0.68,1.13,0.68,1.12,0.49,0.48,0.73,0.32,0.35,16.1,0.64,0.54,5.37,1.24,34882.66,32505.94,66.49,194.54,137.52,328.28,199.16,1220.89,831.82,352.18,1,0,42.46688741721855,22.433703199101657,166.30043136134645,8.225000000000001,4.32,3.4433333333333334,22463.28
Leiden,Netherlands,10.54,1.07,2.01,1.6,2.18,11.76,8.54,27.49,2.81,1.36,1.46,2.69,1.12,0.94,0.85,0.66,3.16,52.69,5.27,2.11,31.61,2.25,27655.54,28136.25,197.61,1304.08,1119.6,2239.21,2120.66,5521.62,3951.54,3249.05,1,0,106.34657836644593,123.92363488200975,137.8720263424969,27.924999999999997,16.88,17.919999999999998,18598.013333333332
Annecy,France,9.17,1.05,1.14,2.03,3.28,16.82,14.96,22.39,4.08,3.69,3.95,4.19,2.08,2.66,1.12,2.81,1.58,31.61,2.19,2.07,19.6,2.09,25288.83,23181.34,169.37,889.1,703.37,1559.54,1169.66,8605.59,5444.35,2581.68,1,0,131.65011037527597,139.63905137827908,119.7167362577886,16.595,16.56,12.783333333333333,16157.42
